103.8369959,1.45752913,JANGGUS GARDEN,Located In  Off Sembawang Road/Janggus  Road
103.8809038,1.35333321,JLN GENENG INTERIM Park,No Description Found For Jln Geneng Interim Park
103.8076306,1.326733223,BOUGAINVILLEA Park,Bougainvillea Park Is Located Junction Of Dunearn Road And Watten Drive
103.7667721,1.346151053,Jalan Tekukor Playground,"Jalan Tekukor Playground Is Located Jalan Selanting, Along Jalan Jurong Kechil"
103.7659845,1.340516493,Highgate Walk Playground,Highgate Walk Playground Is Located Along Highgate Walk
103.767556,1.299828395,Clementi Woods Park,"With Its Tall Mature Native Trees And Natural Vegetation, Clementi Woods Park Is A Welcoming Retreat For Those Looking To Get Close To Nature.Tree-Lined Footpaths Allow Nature Lovers To Walk Among The Woods While Listening To The Chirping Of Birds And The Soothing Hum Of Insects. The Wooded Ambience Of The Park Makes It Perfect For A Quiet Cool Stroll In The Morning Or Evening. Visitors Can Also Enjoy A Bird’s Eye View Of The Surrounding Area From A Tower That Is Situated At One End Of The Park. Alternatively, Dine At The Restaurant Located At The Tower Block, And Bask In The Tranquillity Of Clementi Woods Park.In Partnership With Ngee Ann Polytechnic Since 2007, Clementi Woods Park Is A ‘learning Park’ That Serves As An Outdoor Classroom/Laboratory For Ngee Ann Students To Engage In Experiential Learning Through Implementation Of Ideas And Projects In A Real Park Setting."
103.7186119,1.340081668,Lakeside Grove Playground,Lakeside Grove Playground Is Located Corporation Rise
103.8730496,1.329826207,SIANG KUANG AVE INTERIM Park,No Description Found For Siang Kuang Ave Interim Park
103.8335904,1.341523013,MACRITCHIE RESERVOIR Park,No Description Found For Macritchie Reservoir Park
103.8466548,1.278086869,TELOK AYER Park,"Telok Ayer Park Sits In The Heart Of The Central Business District (Cbd) And It Is At The Cross Junction Of Three Key Busy Roads - Maxwell Road, Cecil Road And Telok Ayer Street. With Many Cosy Nooks And Swings Interspersed Within The Park, The Relaxing And Intimate Park Setting Allows Visitors To Comfortably Under The Shade Of Our Majestic Mature Trees."
103.7816175,1.453803703,WOODLANDS WATERFRONT Park,"A Scenic And Tranquil Coastal Park Offering An Exceptional View Of The Sea From The North, Woodlands Waterfront Is A Favourite Among Residents And Visitors Young And Old. The 11-Hectare Park Houses A Large Playground With A Wide Range Of Equipment And A 1.5-Kilometre-Long Waterfront Promenade, Making It An Ideal Spot For Recreational Activities.Visitors Can Enjoy An Unobstructed And Panoramic View Of The Entire Coastal Park And The Straits Of Johor From High Vantage Points And Rest Shelters Placed Along The Scenic Trail. The Undulating Terrain Of The Park Is Also Fitted With Dedicated Jogging And Cycling Tracks, Providing Exercise Enthusiasts With Both Adventurous And Challenging Trails.Woodlands Waterfront Forms Part Of The Comprehensive Network Of Parks And Park Connectors In The Area, Improving Accessibility To The Waterfront. It Is Also Linked To The Existing Admiralty Park Via The Northern Explorer Loop."
103.9147254,1.327428037,INTERIM Park AT LENGKONG ENAM,Interim Park At Lengkong Enam Is Located Along Jalan Selamat And Lengkong Tujuh
103.9171842,1.325572395,Jalan Senang Linear Park,No Description Found For Jalan Senang Linear Park
103.8362982,1.365170696,Bishan-Ang Mo Kio Park (Pond Gardens),No Description Found For Bishan-Ang Mo Kio Park (Pond Gardens)
103.8328149,1.371706011,ST. NICHOLAS VIEW PLAYGROUND,No Description Found For St. Nicholas View Playground
103.7792437,1.436657786,WOODLANDS TOWN Park EAST,Woodlands Town Park East Is Located Along Woodlands Street 13
103.797934,1.27926286,HORTPARK,"Hortpark Is A One-Stop Gardening Resource Hub That Brings Together Gardening-Related, Recreational, Educational, Research And Retail Activities Under One Big Canopy In A Park Setting. It Also Serves As A Knowledge Centre On Plants And Gardening, Providing Planting Ideas And Solutions, And Offering A Platform For The Horticulture Industry To Share Best Practices And Showcase Garden Designs, Products And Services.Popular With Gardening Enthusiasts, Families And Community Groups Who Yearn For A Tranquil Environment In Which To Relax, It Is Also Frequently Visited By Nature Lovers Who Enjoy Exercising Along The Southern Ridges.Find Out More About The Themed Gardens And What Hortpark Has To Offer!Download Hortpark Brochure For The Map And More Details."
103.8424828,1.424488068,YISHUN Park,"Developed On An Old Rubber Estate, Yishun Park Is Home To An Array Of Tropical Fruit Trees And Natural Vegetation. With Facilities Such As Children Playgrounds, Fitness Corners, An Amphitheatre And Multi-Purpose Courts, There’s Something For Everyone. The Playgrounds Provide Children With Hours Of Fun While The Multi-Purpose Courts Are Great Venues For Family Gatherings And Activities.Visitors Can Take A Stroll Around The Park Among The Various Tropical Fruit Trees, Such As Durian, Rambutan, Jackfruit, Star Fruit, Coconut And Bread Fruit Trees. Learn More About The Different Fruits And Plants From The Information Boards Installed. Alternatively, Visit Safra Clubhouse On The Park’s Grounds To Enjoy Their Facilities."
103.8294905,1.450641346,PEBBLE GARDEN,Pebble Garden Is Located Off Sembawang Road
